	rebecca	bar	woodrowhead	_	window	woodrow	bartender	woodrowshirt	johnny	woodrowchest	thugbgun	saloon	counter	thugbcoat	saloonwall	woodrowgun	ben	piano	thugb	crowd	bottle2	bottle3	bottles1&2	bottle1	johnnyhat	saloonwindow	johnnygun	benhat
counter	-	{'pick-up+drop', 'drop', 'walk'}	-	-	-	-	{'pick-up+drop', 'drop', 'walk'}	-	-	-	-	-	-	-	-	-	-	-	-	-	-	{'drop', 'walk'}	{'pick-up+drop'}	-	-	-	-	-	
thugbcoat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	{'adjust-clothing'}	-	-	-	-	-	-	-	-	-	
saloonwall	-	-	-	-	-	-	-	-	-	-	-	{'walk'}	-	-	-	-	{'walk'}	-	-	-	-	-	-	-	-	{'walk'}	-	-	
woodrowgun	-	-	-	-	-	{'draw-gun', 'drop-gun'}	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
ben	-	-	-	-	{'leave'}	{'look-at', 'stare-at', 'provoke'}	-	-	{'look-at', 'stare-at'}	-	-	{'walk'}	-	-	{'walk'}	-	-	-	-	-	-	-	-	-	-	{'walk'}	-	{'adjust-clothing'}	
piano	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
thugb	-	-	-	-	-	{'look-at', 'give', 'walk'}	-	-	{'look-at', 'square-off'}	-	{'give', 'draw-gun'}	-	-	{'adjust-clothing'}	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
crowd	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
bottle2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
bottle3	-	{'drop', 'walk'}	-	-	-	-	{'drop', 'ask-for', 'walk'}	-	{'ask-for'}	-	-	-	{'drop', 'walk'}	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
bottles1&2	-	{'pick-up+drop'}	-	-	-	-	{'pick-up+drop', 'ask-for'}	-	{'ask-for'}	-	-	-	{'pick-up+drop'}	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
bottle1	-	{'drop'}	-	-	-	-	-	-	{'drop'}	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
johnnyhat	-	-	-	-	-	-	-	-	{'adjust-clothing'}	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
saloonwindow	-	-	-	-	-	{'face-at'}	-	-	{'face-at'}	-	-	-	-	-	{'walk'}	-	{'walk'}	-	-	-	-	-	-	-	-	-	-	-	
johnnygun	-	-	-	-	-	{'fire-gun'}	-	-	{'holster-gun', 'draw-gun', 'fire-gun', 'raise-gun'}	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
benhat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	{'adjust-clothing'}	-	-	-	-	-	-	-	-	-	-	-	
